Observation,"""OUTDOOR""","""SOCIAL""","""CONSERVATIVE""","""Anxiety""","""JOB""","""JID""","""AGE"""
"""1""",10,22,5,49.5,1,1,37
"""2""",14,17,6,102.5,1,2,42
"""3""",19,33,7,73.5,1,3,28
"""4""",14,29,12,106.4,1,4,43
"""5""",14,25,7,116.6,1,5,32
"""6""",20,25,12,72.4,1,6,33
"""7""",6,18,4,86.3,1,7,36
"""8""",13,27,7,61.9,1,8,43
"""9""",18,31,9,94.4,1,9,55
"""10""",16,35,13,34.6,1,10,54
"""11""",17,25,8,85.7,1,11,31
"""12""",10,29,11,96.8,1,12,24
"""13""",17,25,7,88.5,1,13,31
"""14""",10,22,13,73.8,1,14,28
"""15""",10,31,13,84.9,1,15,47
"""16""",18,25,5,102.3,1,16,42
"""17""",0,27,11,95.7,1,17,34
"""18""",10,24,12,54.4,1,18,47
"""19""",15,23,10,59.4,1,19,37
"""20""",8,29,14,84.8,1,20,44
"""21""",6,27,11,66.5,1,21,34
"""22""",10,17,8,52.8,1,22,38
"""23""",1,30,6,27.8,1,23,39
"""24""",14,29,7,69.2,1,24,29
"""25""",13,21,11,116.7,1,25,28
"""26""",21,31,11,7.4,1,26,51
"""27""",12,26,9,74.8,1,27,51
"""28""",12,22,9,100.4,1,28,43
"""29""",5,25,7,64.7,1,29,37
"""30""",10,24,5,43.8,1,30,53
"""31""",3,20,14,75.1,1,31,49
"""32""",6,25,12,55.4,1,32,25
"""33""",11,27,10,70.3,1,33,24
"""34""",13,21,14,83.1,1,34,41
"""35""",11,23,5,121.7,1,35,37
"""36""",8,18,8,110.7,1,36,31
"""37""",5,17,9,82,1,37,41
"""38""",11,22,11,125.9,1,38,36
"""39""",14,22,11,64.8,1,39,27
"""40""",22,22,6,68.9,1,40,29
"""41""",16,28,6,46.7,1,41,50
"""42""",12,25,8,100.6,1,42,40
"""43""",12,25,7,39.8,1,43,30
"""44""",15,21,4,47.2,1,44,31
"""45""",11,28,8,103.1,1,45,43
"""46""",11,20,9,81.8,1,46,47
"""47""",15,19,9,38.5,1,47,61
"""48""",15,24,7,121.4,1,48,30
"""49""",15,21,10,77.6,1,49,37
"""50""",17,26,7,95.9,1,50,49
"""51""",12,28,13,105.3,1,51,52
"""52""",7,28,12,66.1,1,52,40
"""53""",14,12,6,96.4,1,53,40
"""54""",22,24,6,137.9,1,54,46
"""55""",22,27,12,72.3,1,55,40
"""56""",18,30,9,98.8,1,56,37
"""57""",16,18,5,92.8,1,57,37
"""58""",12,23,4,80,1,58,47
"""59""",16,22,2,63.3,1,59,40
"""60""",15,26,9,108.7,1,60,38
"""61""",7,13,7,66.4,1,61,51
"""62""",6,18,6,80.5,1,62,55
"""63""",9,24,6,82,1,63,42
"""64""",9,20,12,80.5,1,64,45
"""65""",20,28,8,107.9,1,65,41
"""66""",5,22,15,69.9,1,66,46
"""67""",14,26,17,80.7,1,67,44
"""68""",8,28,12,104.6,1,68,40
"""69""",14,22,9,46.2,1,69,30
"""70""",15,26,4,53.7,1,70,48
"""71""",15,25,10,61.4,1,71,49
"""72""",14,27,6,84.9,1,72,27
"""73""",15,25,11,102.2,1,73,43
"""74""",11,26,9,101.5,1,74,42
"""75""",10,28,5,45.1,1,75,18
"""76""",7,22,10,55.3,1,76,30
"""77""",11,15,12,78.5,1,77,30
"""78""",14,25,15,81.2,1,78,42
"""79""",18,28,7,123.2,1,79,35
"""80""",14,29,8,46.5,1,80,46
"""81""",17,20,6,74.2,1,81,32
"""82""",13,25,14,89.2,1,82,48
"""83""",9,21,12,121.6,1,83,25
"""84""",13,26,13,89,1,84,42
"""85""",16,24,10,128.1,1,85,32
"""86""",20,27,6,49.7,2,1,34
"""87""",21,15,10,74.8,2,2,44
"""88""",15,27,12,35.6,2,3,30
"""89""",15,29,8,50.6,2,4,13
"""90""",11,25,11,42.1,2,5,18
"""91""",24,9,17,68.8,2,6,26
"""92""",18,21,13,36.4,2,7,16
"""93""",14,18,4,85.7,2,8,41
"""94""",13,22,12,33.2,2,9,36
"""95""",17,21,9,3.3,2,10,48
"""96""",16,28,13,86.3,2,11,13
"""97""",15,22,12,69.7,2,12,43
"""98""",24,20,15,18.8,2,13,15
"""99""",14,19,13,19.3,2,14,28
"""100""",14,28,1,26.7,2,15,50
"""101""",18,17,11,45.4,2,16,22
"""102""",14,24,7,47.1,2,17,34
"""103""",12,16,10,43.3,2,18,25
"""104""",16,21,10,58.9,2,19,40
"""105""",18,19,9,23.9,2,20,28
"""106""",19,26,7,35.8,2,21,33
"""107""",13,20,10,66.4,2,22,17
"""108""",28,16,10,14.4,2,23,31
"""109""",17,19,11,36.4,2,24,27
"""110""",24,14,7,40.2,2,25,22
"""111""",19,23,12,26.9,2,26,36
"""112""",22,12,8,13.3,2,27,50
"""113""",22,21,11,5,2,28,16
"""114""",21,19,9,46.8,2,29,28
"""115""",18,24,13,73,2,30,42
"""116""",23,27,11,21.5,2,31,46
"""117""",20,23,12,55,2,32,30
"""118""",19,13,7,21,2,33,19
"""119""",17,28,13,66,2,34,30
"""120""",20,24,5,25.5,2,35,31
"""121""",21,23,11,62.2,2,36,30
"""122""",17,21,15,63.5,2,37,16
"""123""",11,25,12,44.9,2,38,36
"""124""",14,19,14,49.2,2,39,14
"""125""",18,24,5,30.2,2,40,28
"""126""",13,14,7,50.8,2,41,36
"""127""",22,18,16,41.1,2,42,28
"""128""",25,17,13,7.4,2,43,28
"""129""",19,25,13,23.1,2,44,36
"""130""",20,20,9,41.6,2,45,23
"""131""",21,25,11,76.1,2,46,15
"""132""",17,24,11,47.7,2,47,21
"""133""",18,26,10,37,2,48,33
"""134""",21,29,11,21.7,2,49,41
"""135""",17,21,12,46,2,50,15
"""136""",17,19,12,43.1,2,51,32
"""137""",17,16,6,62.8,2,52,3
"""138""",16,22,5,3.4,2,53,12
"""139""",22,19,10,35.2,2,54,22
"""140""",19,23,12,39,2,55,27
"""141""",16,23,9,52.4,2,56,18
"""142""",18,27,11,53.7,2,57,40
"""143""",21,24,12,39,2,58,47
"""144""",15,22,13,2.5,2,59,30
"""145""",19,26,12,63.8,2,60,39
"""146""",14,17,11,43.9,2,61,39
"""147""",15,23,7,46.8,2,62,48
"""148""",23,20,16,57.1,2,63,39
"""149""",22,26,15,8.4,2,64,23
"""150""",13,16,11,60.4,2,65,33
"""151""",25,29,11,22.1,2,66,68
"""152""",23,24,7,37.8,2,67,37
"""153""",17,29,9,35.3,2,68,6
"""154""",21,19,7,60.9,2,69,46
"""155""",15,13,6,17.3,2,70,27
"""156""",19,27,14,23.8,2,71,34
"""157""",22,24,14,47.2,2,72,26
"""158""",17,18,8,71.2,2,73,17
"""159""",21,19,8,9.4,2,74,30
"""160""",24,18,13,17.9,2,75,36
"""161""",21,12,9,53.9,2,76,38
"""162""",15,17,8,48.9,2,77,45
"""163""",24,22,14,49.4,2,78,39
"""164""",19,19,7,29,2,79,44
"""165""",23,16,10,32.4,2,80,41
"""166""",21,29,12,35.7,2,81,22
"""167""",20,19,11,2.4,2,82,30
"""168""",18,28,0,30.6,2,83,33
"""169""",23,21,16,47.4,2,84,21
"""170""",17,17,8,63.3,2,85,43
"""171""",17,24,5,40.4,2,86,30
"""172""",17,18,15,64.9,2,87,23
"""173""",17,23,10,55.6,2,88,39
"""174""",19,15,10,49.4,2,89,25
"""175""",17,20,8,12.1,2,90,46
"""176""",25,20,8,21.6,2,91,11
"""177""",16,19,8,23.7,2,92,25
"""178""",19,16,6,52.8,2,93,24
"""179""",19,19,16,55.5,3,1,33
"""180""",17,17,12,84.4,3,2,41
"""181""",8,17,14,63.8,3,3,29
"""182""",13,20,16,87.9,3,4,43
"""183""",14,18,4,65.5,3,5,35
"""184""",17,12,13,80.1,3,6,50
"""185""",17,12,17,62.5,3,7,25
"""186""",14,21,16,52.8,3,8,36
"""187""",19,18,12,75,3,9,47
"""188""",18,16,15,51,3,10,52
"""189""",15,14,17,52.2,3,11,25
"""190""",20,15,7,31.2,3,12,78
"""191""",24,20,13,44.3,3,13,41
"""192""",16,16,17,78.7,3,14,37
"""193""",17,15,10,70,3,15,49
"""194""",17,10,12,60.9,3,16,64
"""195""",11,16,11,52.4,3,17,38
"""196""",15,18,14,78,3,18,49
"""197""",20,19,16,57.4,3,19,44
"""198""",14,22,16,48.8,3,20,13
"""199""",13,15,18,47.7,3,21,24
"""200""",16,14,13,61.1,3,22,45
"""201""",12,12,6,94.2,3,23,54
"""202""",17,17,19,66.5,3,24,50
"""203""",10,8,16,64,3,25,8
"""204""",11,17,20,65.7,3,26,21
"""205""",13,16,7,71.4,3,27,31
"""206""",19,15,13,37.9,3,28,14
"""207""",15,11,13,60.6,3,29,42
"""208""",17,11,10,51.9,3,30,21
"""209""",15,10,13,87.6,3,31,35
"""210""",19,14,12,67.1,3,32,31
"""211""",19,14,15,84.2,3,33,32
"""212""",4,12,11,36.9,3,34,22
"""213""",13,12,15,74,3,35,23
"""214""",20,13,19,47.7,3,36,17
"""215""",14,18,14,95,3,37,29
"""216""",10,12,9,71.8,3,38,14
"""217""",11,12,19,87.1,3,39,48
"""218""",8,20,8,81.5,3,40,18
"""219""",14,16,7,48.3,3,41,61
"""220""",18,20,15,60.1,3,42,12
"""221""",19,7,13,28.2,3,43,44
"""222""",21,13,11,69,3,44,44
"""223""",14,26,15,69.5,3,45,48
"""224""",25,16,12,61.9,3,46,67
"""225""",18,11,19,73.4,3,47,41
"""226""",14,16,6,93.5,3,48,44
"""227""",13,20,18,38.9,3,49,30
"""228""",20,16,14,47.2,3,50,42
"""229""",12,14,8,63.5,3,51,27
"""230""",16,19,12,41.6,3,52,49
"""231""",21,15,7,55.9,3,53,67
"""232""",18,23,15,69.8,3,54,17
"""233""",19,11,13,68.4,3,55,38
"""234""",17,18,9,72.9,3,56,33
"""235""",4,10,15,55.9,3,57,45
"""236""",17,17,14,70.5,3,58,65
"""237""",14,13,12,54.2,3,59,37
"""238""",15,16,14,67.3,3,60,35
"""239""",20,13,18,60.1,3,61,14
"""240""",20,14,18,46.5,3,62,40
"""241""",16,22,12,91.4,3,63,56
"""242""",9,13,16,60.1,3,64,46
"""243""",15,13,13,89.1,3,65,17
"""244""",18,20,10,47.6,3,66,32